id_actividad,disciplina,descripcion,unidad,cantidad_planificada,cantidad_ejecutada,peso_presupuesto_usd,avance_planificado_pct,costo_real_usd
STAP-MEC-040,Mecánica estática,Montaje de válvulas de proceso — Área 500 (Inyección),und,72,49,74169,0.83,50687
STAP-MEC-041,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 400 (Bombeo),und,1,0,89719,0.18,0
STAP-MEC-042,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 200 (Separación),und,1,1,61417,1.0,69335
STAP-MEC-043,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 600 (Servicios),und,2,1,135966,0.56,68207
STAP-MEC-044,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 300 (Tratamiento),und,2,1,185180,0.62,90858
STAP-MEC-045,Mecánica estática,Soldadura de tubería de proceso — Área 500 (Inyección),pulg_diam,629,362,39954,0.64,23003
STAP-MEC-046,Mecánica estática,Tendido de tubería enterrada — Área 400 (Bombeo),m,2835,1793,71329,0.69,49844
STAP-MEC-047,Mecánica estática,Aislamiento térmico de tubería — Área 100 (Recepción),m2,708,507,5565,0.89,4214
STAP-MEC-048,Mecánica estática,Soldadura de tubería de proceso — Área 400 (Bombeo),pulg_diam,652,337,38735,0.65,21081
STAP-MEC-049,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 100 (Recepción),und,1,1,73080,1.0,70293
STAP-MEC-050,Mecánica estática,Soldadura de tubería de proceso — Área 200 (Separación),pulg_diam,2909,1524,174860,0.7,97667
STAP-MEC-051,Mecánica estática,Montaje de recipiente/separador API-CPI — Área 500 (Inyección),und,2,2,152638,1.0,171983
STAP-MEC-052,Mecánica estática,Prueba hidrostática de líneas — Área 300 (Tratamiento),m,2911,1819,8646,0.73,5223
STAP-MEC-053,Mecánica estática,Montaje de tanque de almacenamiento API 650 — Área 600 (Servicios),und,2,2,259354,1.0,259831
